ID_LEXEMA 	LÍNEA 	COLUMNA 	TOKEN                	LEXEMA
-------------------------------------------------------------------------------
1         	2     	1       	ID                   	TABLAS
2         	2     	8       	ID                   	DE
3         	2     	11      	ID                   	S
4         	2     	13      	ID                   	MBOLOS
5         	2     	20      	ID                   	POR
6         	2     	24      	ID                   	SCOPE
6         	5     	1       	ID                   	SCOPE
7         	5     	6       	COLON                	:
8         	5     	8       	ID                   	func1
9         	6     	1       	DECREMENT            	--
9         	6     	3       	DECREMENT            	--
9         	6     	5       	DECREMENT            	--
9         	6     	7       	DECREMENT            	--
9         	6     	9       	DECREMENT            	--
9         	6     	11      	DECREMENT            	--
9         	6     	13      	DECREMENT            	--
9         	6     	15      	DECREMENT            	--
9         	6     	17      	DECREMENT            	--
9         	6     	19      	DECREMENT            	--
9         	6     	21      	DECREMENT            	--
9         	6     	23      	DECREMENT            	--
9         	6     	25      	DECREMENT            	--
9         	6     	27      	DECREMENT            	--
9         	6     	29      	DECREMENT            	--
9         	6     	31      	DECREMENT            	--
9         	6     	33      	DECREMENT            	--
9         	6     	35      	DECREMENT            	--
9         	6     	37      	DECREMENT            	--
9         	6     	39      	DECREMENT            	--
9         	6     	41      	DECREMENT            	--
9         	6     	43      	DECREMENT            	--
9         	6     	45      	DECREMENT            	--
9         	6     	47      	DECREMENT            	--
9         	6     	49      	DECREMENT            	--
9         	6     	51      	DECREMENT            	--
9         	6     	53      	DECREMENT            	--
9         	6     	55      	DECREMENT            	--
9         	6     	57      	DECREMENT            	--
9         	6     	59      	DECREMENT            	--
9         	6     	61      	DECREMENT            	--
9         	6     	63      	DECREMENT            	--
9         	6     	65      	DECREMENT            	--
9         	6     	67      	DECREMENT            	--
9         	6     	69      	DECREMENT            	--
9         	6     	71      	DECREMENT            	--
9         	6     	73      	DECREMENT            	--
9         	6     	75      	DECREMENT            	--
9         	6     	77      	DECREMENT            	--
10        	6     	79      	MINUS                	-
11        	7     	1       	ID                   	NOMBRE
12        	7     	20      	ID                   	TIPO
13        	7     	39      	ID                   	VALOR
14        	7     	58      	ID                   	L
15        	7     	60      	ID                   	NEA
16        	7     	65      	ID                   	COLUMNA
9         	8     	1       	DECREMENT            	--
9         	8     	3       	DECREMENT            	--
9         	8     	5       	DECREMENT            	--
9         	8     	7       	DECREMENT            	--
9         	8     	9       	DECREMENT            	--
9         	8     	11      	DECREMENT            	--
9         	8     	13      	DECREMENT            	--
9         	8     	15      	DECREMENT            	--
9         	8     	17      	DECREMENT            	--
9         	8     	19      	DECREMENT            	--
9         	8     	21      	DECREMENT            	--
9         	8     	23      	DECREMENT            	--
9         	8     	25      	DECREMENT            	--
9         	8     	27      	DECREMENT            	--
9         	8     	29      	DECREMENT            	--
9         	8     	31      	DECREMENT            	--
9         	8     	33      	DECREMENT            	--
9         	8     	35      	DECREMENT            	--
9         	8     	37      	DECREMENT            	--
9         	8     	39      	DECREMENT            	--
9         	8     	41      	DECREMENT            	--
9         	8     	43      	DECREMENT            	--
9         	8     	45      	DECREMENT            	--
9         	8     	47      	DECREMENT            	--
9         	8     	49      	DECREMENT            	--
9         	8     	51      	DECREMENT            	--
9         	8     	53      	DECREMENT            	--
9         	8     	55      	DECREMENT            	--
9         	8     	57      	DECREMENT            	--
9         	8     	59      	DECREMENT            	--
9         	8     	61      	DECREMENT            	--
9         	8     	63      	DECREMENT            	--
9         	8     	65      	DECREMENT            	--
9         	8     	67      	DECREMENT            	--
9         	8     	69      	DECREMENT            	--
9         	8     	71      	DECREMENT            	--
9         	8     	73      	DECREMENT            	--
9         	8     	75      	DECREMENT            	--
9         	8     	77      	DECREMENT            	--
10        	8     	79      	MINUS                	-
17        	9     	1       	ID                   	a
18        	9     	20      	ID                   	ID
17        	9     	39      	ID                   	a
19        	9     	58      	INT_LIT              	3
20        	9     	65      	INT_LIT              	8
21        	10    	1       	ID                   	_x22_
18        	10    	20      	ID                   	ID
21        	10    	39      	ID                   	_x22_
22        	10    	58      	INT_LIT              	4
23        	10    	65      	INT_LIT              	7
24        	11    	1       	ID                   	_miChar_
18        	11    	20      	ID                   	ID
24        	11    	39      	ID                   	_miChar_
25        	11    	58      	INT_LIT              	5
23        	11    	65      	INT_LIT              	7
26        	12    	1       	ID                   	_miChar2_
18        	12    	20      	ID                   	ID
26        	12    	39      	ID                   	_miChar2_
27        	12    	58      	INT_LIT              	6
23        	12    	65      	INT_LIT              	7
28        	13    	1       	ID                   	_x30_
18        	13    	20      	ID                   	ID
28        	13    	39      	ID                   	_x30_
23        	13    	58      	INT_LIT              	7
27        	13    	65      	INT_LIT              	6
29        	14    	1       	ID                   	_x40_
18        	14    	20      	ID                   	ID
29        	14    	39      	ID                   	_x40_
20        	14    	58      	INT_LIT              	8
23        	14    	65      	INT_LIT              	7
30        	15    	1       	ID                   	_x50_
18        	15    	20      	ID                   	ID
30        	15    	39      	ID                   	_x50_
31        	15    	58      	INT_LIT              	9
20        	15    	65      	INT_LIT              	8
32        	16    	1       	ID                   	_
18        	16    	20      	ID                   	ID
32        	16    	39      	ID                   	_
33        	16    	58      	INT_LIT              	12
27        	16    	65      	INT_LIT              	6
34        	17    	1       	ID                   	x22
18        	17    	20      	ID                   	ID
34        	17    	39      	ID                   	x22
35        	17    	58      	INT_LIT              	15
36        	17    	65      	INT_LIT              	16
37        	18    	1       	ID                   	var
18        	18    	20      	ID                   	ID
37        	18    	39      	ID                   	var
35        	18    	58      	INT_LIT              	15
38        	18    	65      	INT_LIT              	37
39        	19    	1       	ID                   	_i_
18        	19    	20      	ID                   	ID
39        	19    	39      	ID                   	_i_
40        	19    	58      	INT_LIT              	28
41        	19    	65      	INT_LIT              	14
42        	20    	1       	ID                   	id
18        	20    	20      	ID                   	ID
42        	20    	39      	ID                   	id
43        	20    	58      	INT_LIT              	29
44        	20    	65      	INT_LIT              	19
45        	21    	1       	ID                   	f
18        	21    	20      	ID                   	ID
45        	21    	39      	ID                   	f
43        	21    	58      	INT_LIT              	29
46        	21    	65      	INT_LIT              	24
47        	22    	1       	ID                   	f1
18        	22    	20      	ID                   	ID
47        	22    	39      	ID                   	f1
43        	22    	58      	INT_LIT              	29
48        	22    	65      	INT_LIT              	45
49        	23    	1       	ID                   	x
18        	23    	20      	ID                   	ID
49        	23    	39      	ID                   	x
43        	23    	58      	INT_LIT              	29
50        	23    	65      	INT_LIT              	63
51        	24    	1       	ID                   	Holamundo
18        	24    	20      	ID                   	ID
51        	24    	39      	ID                   	Holamundo
52        	24    	58      	INT_LIT              	31
31        	24    	65      	INT_LIT              	9
6         	26    	1       	ID                   	SCOPE
7         	26    	6       	COLON                	:
53        	26    	8       	ID                   	func1_if1
9         	27    	1       	DECREMENT            	--
9         	27    	3       	DECREMENT            	--
9         	27    	5       	DECREMENT            	--
9         	27    	7       	DECREMENT            	--
9         	27    	9       	DECREMENT            	--
9         	27    	11      	DECREMENT            	--
9         	27    	13      	DECREMENT            	--
9         	27    	15      	DECREMENT            	--
9         	27    	17      	DECREMENT            	--
9         	27    	19      	DECREMENT            	--
9         	27    	21      	DECREMENT            	--
9         	27    	23      	DECREMENT            	--
9         	27    	25      	DECREMENT            	--
9         	27    	27      	DECREMENT            	--
9         	27    	29      	DECREMENT            	--
9         	27    	31      	DECREMENT            	--
9         	27    	33      	DECREMENT            	--
9         	27    	35      	DECREMENT            	--
9         	27    	37      	DECREMENT            	--
9         	27    	39      	DECREMENT            	--
9         	27    	41      	DECREMENT            	--
9         	27    	43      	DECREMENT            	--
